4641.180|1137.213|84.630|currentColor
4641.180|1327.213|84.630|currentColor
4641.180|1517.213|84.630|none
4641.180|1707.213|84.630|none
4641.180|1897.213|84.630|none
4641.180|2087.213|84.630|none
5763.180|1137.213|84.630|currentColor
5763.180|1327.213|84.630|currentColor
5763.180|1517.213|84.630|currentColor
5763.180|1707.213|84.630|currentColor
5763.180|1897.213|84.630|none
5763.180|2087.213|84.630|none
6495.180|1137.213|84.630|currentColor
6495.180|1327.213|84.630|currentColor
6495.180|1517.213|84.630|none
6495.180|1707.213|84.630|none
6495.180|1897.213|84.630|none
6495.180|2087.213|84.630|none
7226.180|1137.213|84.630|currentColor
7226.180|1327.213|84.630|currentColor
7226.180|1517.213|84.630|currentColor
7226.180|1707.213|84.630|currentColor
7226.180|1897.213|84.630|currentColor
7226.180|2087.213|84.630|currentColor
8349.180|1137.213|84.630|currentColor
8349.180|1327.213|84.630|currentColor
8349.180|1517.213|84.630|currentColor
8349.180|1707.213|84.630|currentColor
8349.180|1897.213|84.630|none
8349.180|2087.213|84.630|none
9080.180|1137.213|84.630|currentColor
9080.180|1327.213|84.630|currentColor
9080.180|1517.213|84.630|currentColor
9080.180|1707.213|84.630|currentColor
9080.180|1897.213|84.630|currentColor
9080.180|2087.213|84.630|currentColor
9991.180|1137.213|84.630|currentColor
9991.180|1327.213|84.630|none
9991.180|1517.213|84.630|none
9991.180|1707.213|84.630|none
9991.180|1897.213|84.630|none
9991.180|2087.213|84.630|none
11113.180|1137.213|84.630|currentColor
11113.180|1327.213|84.630|currentColor
11113.180|1517.213|84.630|currentColor
11113.180|1707.213|84.630|none
11113.180|1897.213|84.630|none
11113.180|2087.213|84.630|none
11845.180|1137.213|84.630|currentColor
11845.180|1327.213|84.630|none
11845.180|1517.213|84.630|none
11845.180|1707.213|84.630|none
11845.180|1897.213|84.630|none
11845.180|2087.213|84.630|none
12576.180|1137.213|84.630|currentColor
12576.180|1327.213|84.630|currentColor
12576.180|1517.213|84.630|currentColor
12576.180|1707.213|84.630|currentColor
12576.180|1897.213|84.630|currentColor
